"","PARSE_neuro","Multiome_neuro","multi_to_parse_ratio"
"FTH1",0.443928621195452,2.57779777568646,5.80678436264083
"RPL17",0.443928621195452,2.52925056211591,5.69742621078342
"SLC25A6",0.246398727384597,1.39029299119069,5.64245199619323
"TOMM20",0.246398727384597,1.39029299119069,5.64245199619323
"EIF1",0.398082465423852,2.2096000604237,5.55060886208856
"RPL22",0.299557783254615,1.64094367410438,5.47788695815535
"CRYAB",0.246398727384597,1.3371106060408,5.42661327935246
"SERBP1",0.299557783254615,1.57857323362257,5.26967857911016
"ATOH1",0.350033023010111,1.80764017485247,5.16419896416532
"BTF3",0.299557783254615,1.53472126972336,5.1232895805578
"SOX2",0.350033023010111,1.79043257762773,5.11503903897665
"RPS6",0.487764723585791,2.46946260051464,5.06281508502797
"YWHAB",0.299557783254615,1.51205242642702,5.04761522134051
"NACA",0.398082465423852,1.92045332066103,4.82426001511083
"HSBP1",0.299557783254615,1.44078926310718,4.8097206737658
"KLF6",0.299557783254615,1.41585982747554,4.72649988290275
"SOX4",0.398082465423852,1.85755463652044,4.66625585867651
"CD74",0.299557783254615,1.36405530272001,4.55356321541678
"SPINT2",0.299557783254615,1.36405530272001,4.55356321541678
"BEX3",0.398082465423852,1.79043257762773,4.49764240613158
"TPT1",0.608802511558943,2.72445656982553,4.47510731000287
"IRX2",0.398082465423852,1.75510276345558,4.40889241777293
"SERF2",0.350033023010111,1.53472126972336,4.38450422913107
"OCIAD2",0.299557783254615,1.3094197410099,4.37117582719234
"HSPA5",0.487764723585791,2.12633287799854,4.35934124626079
"CANX",0.350033023010111,1.51205242642702,4.31974221581757
"CALM1",0.529759649671525,2.22094894913069,4.19237091860012
"IFI6",0.487764723585791,2.00795315848755,4.11664284314397
"HLA-C",0.570061849146168,2.33796018744885,4.10123952506315
"RPL5",0.608802511558943,2.48691272061953,4.08492519889803
"EEF2",0.398082465423852,1.62058271637543,4.07097236661741
"SRSF3",0.398082465423852,1.57857323362257,3.96544276810034
"HSPA1A",0.682052676645462,2.66110653137631,3.90161438037956
"ACTG1",0.646098142546048,2.51252990350017,3.88877437969278
"PRXL2A",0.646098142546048,2.47822572342062,3.83568000003032
"TUBB4B",0.443928621195452,1.69965137217054,3.8286591380244
"EIF4A1",0.350033023010111,1.3371106060408,3.81995559888124
"CIB2",0.398082465423852,1.48885776392216,3.74007371145304
"HES6",0.844663952819789,3.11014022146446,3.68210364735194
"MT-ATP8",0.443928621195452,1.59979855835966,3.6037292528055
"TUBA1A",0.75030151966815,2.66110653137631,3.54671616892538
"MT-ND1",1.01025820951942,3.53153218588578,3.49567284146668
"MT-CO3",1.36960610321642,4.77069334992811,3.48325941212184
"JUND",0.443928621195452,1.53472126972336,3.45713521599603
"MT-CYB",1.17411450697861,4.03855856885602,3.43966329080506
"CCER2",0.443928621195452,1.51205242642702,3.40607105339417
"CFAP298",0.529759649671525,1.79043257762773,3.3797073422596
"MT-ATP6",1.40450397575786,4.59585556974163,3.27222681392677
"MT-CO2",1.51786469053247,4.89874365602386,3.22739153666285
"IGFBP5",0.682052676645462,2.19812089452616,3.22280224063803
"MT-ND2",1.01025820951942,3.24447405279918,3.2115295102057
"HLA-B",0.782755148096737,2.50406354924076,3.19903810959196
"HSP90AB1",0.874237995925933,2.77109584532584,3.1697270745947
"MYL6",0.570061849146168,1.79043257762773,3.14076898903061
"JUNB",0.570061849146168,1.77292368689896,3.1100549695694
"ITM2B",0.529759649671525,1.64094367410438,3.09752484003234
"POU4F3",0.443928621195452,1.36405530272001,3.07269060293241
"ENC1",0.608802511558943,1.84119175665424,3.02428410148892
"PTMA",0.902962479769583,2.66834689047166,2.95510273156928
"HSPA8",0.814188561482304,2.39644766733874,2.94335708054629
"SARAF",0.529759649671525,1.53472126972336,2.89701427935283
"TAX1BP1",0.487764723585791,1.39029299119069,2.85033526198857
"IGFBP2",0.682052676645462,1.9355787010902,2.83787274409646
"PEG10",0.682052676645462,1.8736540773867,2.74708118821831
"CIRBP",0.529759649671525,1.44078926310718,2.71970366939145
"NUCKS1",0.487764723585791,1.3094197410099,2.68453145070379
"KRT5",0.682052676645462,1.77292368689896,2.59939407557013
"TLE5",0.529759649671525,1.36405530272001,2.57485692533545
"ERRFI1",0.529759649671525,1.36405530272001,2.57485692533545
"SNHG29",0.570061849146168,1.46511230830911,2.57009359686768
"EIF3E",0.529759649671525,1.3371106060408,2.52399480947609
"CALM2",1.05987660608364,2.63160919570156,2.4829392219776
"CPE",0.646098142546048,1.59979855835966,2.47609218013754
"SSB",0.529759649671525,1.3094197410099,2.47172419005826
"PDIA3",0.529759649671525,1.3094197410099,2.47172419005826
"RAB11A",0.682052676645462,1.66089832232782,2.43514669643496
"HLA-E",0.984494145953481,2.3773294225169,2.41477253296866
"HMGB1",0.930884854210506,2.23217048452977,2.39790181828976
"BTG2",0.814188561482304,1.95047870899874,2.39561055174703
"NPM1",0.570061849146168,1.3371106060408,2.34555357114936
"HNRNPA1",0.782755148096737,1.82455667273392,2.33094177300566
"SET",0.608802511558943,1.41585982747554,2.32564715255526
"FOS",1.10714896545973,2.52925056211591,2.28447177482181
"DNAJA1",0.75030151966815,1.69965137217054,2.26529112312378
"MT-ND4L",0.814188561482304,1.82455667273392,2.24095100207764
"SIX1",0.75030151966815,1.66089832232782,2.21364115464196
"GNAS",0.716759223263234,1.57857323362257,2.20237589191486
"EIF4A2",0.75030151966815,1.64094367410438,2.18704564910138
"SKP1",1.05987660608364,2.26509877498351,2.13713441921631
"PGM2L1",0.716759223263234,1.44078926310718,2.01014401537466
"PCP4",1.27662983798725,2.53750720418347,1.9876608932971
"DNAJB1",0.782755148096737,1.53472126972336,1.9606658269256
"PPP1CB",0.682052676645462,1.3371106060408,1.96042131616154
"JUN",1.50243607136991,2.94402617455293,1.95950179222508
"PABPC1",0.844663952819789,1.57857323362257,1.8688772361514
"HNRNPK",0.75030151966815,1.39029299119069,1.85297904208644
"YTHDC1",0.814188561482304,1.48885776392216,1.82863999122214
"CUL3",0.716759223263234,1.3094197410099,1.82686137619328
"PTBP3",0.716759223263234,1.3094197410099,1.82686137619328
"PKIB",0.782755148096737,1.41585982747554,1.80881573365336
"MT-ND4",2.32439717522565,4.06210546323727,1.74759525030094
"HNRNPA3",0.814188561482304,1.41585982747554,1.73898270555145
"NAP1L1",0.814188561482304,1.41585982747554,1.73898270555145
"DDX5",1.03537512439676,1.79043257762773,1.72925979718788
"PRKDC",0.782755148096737,1.3371106060408,1.70821055510395
"CCNI",0.874237995925933,1.48885776392216,1.70303483817958
"KIF5B",1.12997272144655,1.90509564504911,1.68596604934877
"ATP1B1",1.36960610321642,2.29697726929099,1.67710793920727
"ASCC3",0.782755148096737,1.3094197410099,1.67283440318948
"PRPF40A",0.782755148096737,1.3094197410099,1.67283440318948
"ATF3",0.874237995925933,1.44078926310718,1.64805152581042
"TRA2B",0.984494145953481,1.59979855835966,1.6249955014311
"RBM39",1.03537512439676,1.6804625603625,1.62304706841549
"LINC02315",0.902962479769583,1.46511230830911,1.62256166909945
"CSNK1A1",1.25695032284728,2.03549730476343,1.61939359715709
"MT-CO1",2.82058350015636,4.55076494506598,1.6134125952356
"INTS6",0.814188561482304,1.3094197410099,1.60825121225724
"RANBP2",0.844663952819789,1.3371106060408,1.58300896063701
"PTGES3",0.930884854210506,1.46511230830911,1.5738920895342
"GTF2I",1.25695032284728,1.9355787010902,1.53990071517359
"YWHAE",0.984494145953481,1.51205242642702,1.53586736157034
"EGR1",1.29592953247597,1.97962879096599,1.52757440999416
"KTN1",1.05987660608364,1.59979855835966,1.50941963354687
"PSIP1",0.874237995925933,1.3094197410099,1.49778406693826
"HSP90AA1",2.5498400864399,3.74941854681435,1.47045242827338
"ATP1A1",1.29592953247597,1.90509564504911,1.47006113936557
"DSP",1.03537512439676,1.51205242642702,1.460390916102
"SDK1",0.984494145953481,1.41585982747554,1.43815972222393
"TOP1",0.958048701591507,1.36405530272001,1.4237849291524
"XRCC5",0.930884854210506,1.3094197410099,1.40663986000764
"PDZD8",0.930884854210506,1.3094197410099,1.40663986000764
"IMMP2L",1.10714896545973,1.53472126972336,1.38619220863933
"MAP1B",1.03537512439676,1.41585982747554,1.36748487974391
"DAAM1",1.19547558354327,1.62058271637543,1.35559666686975
"PDCD4",1.10714896545973,1.48885776392216,1.34476733517422
"ATRX",1.17411450697861,1.57857323362257,1.34447979668079
"LRRC53",1.12997272144655,1.51205242642702,1.33813179533338
"EPC1",1.05987660608364,1.41585982747554,1.33587232640911
"CADM1",0.984494145953481,1.3094197410099,1.33004319669339
"YWHAZ",1.12997272144655,1.48885776392216,1.31760504980703
"PTPRD",1.25695032284728,1.62058271637543,1.28929734685492
"MDM1",1.27662983798725,1.64094367410438,1.28537155037165
"N4BP2L2",1.21638989134514,1.51205242642702,1.2430655969649
"SINHCAF",1.10714896545973,1.36405530272001,1.23204315342842
"RALGAPA1",1.10714896545973,1.36405530272001,1.23204315342842
"MEIS1",1.40450397575786,1.69965137217054,1.21014351081023
"BCLAF1",1.10714896545973,1.3371106060408,1.20770614231264
"ASH1L",1.10714896545973,1.3371106060408,1.20770614231264
