"","20230221_orig","20230505_YL01","20230505_YL02"
"early-cTEC",9,1177,89
"early-mTEC(I)",18,631,339
"ionocyte/tuft",237,60,118
"late-cTEC",3,779,91
"late-mTEC(I)",199,755,473
"mcTEC",44,1000,349
"mTEC(II)",114,428,183
"mTEC(III)",9,128,92
"muscle",71,28,85
"mystery",4,94,15
"neuro",133,20,354
"neuroendocrine-I",62,22,265
"neuroendocrine-II",129,42,97
