"","x"
"290","LINC01343"
"291","AL354702.2"
"292","AL139260.1"
"293","AL356055.1"
"294","AL442071.2"
"295","AL442071.1"
"296","AL035404.2"
"297","AL033527.3"
"298","AL033527.4"
"299","AL033527.2"
"300","AL050341.2"
"301","AL031985.4"
"302","AL031985.3"
"303","AL603839.3"
"304","AL603839.1"
"305","AL603839.2"
"306","AL356379.2"
"307","AL031289.2"
"308","AL031289.1"
"309","AC119677.1"
"310","AL391730.2"
"311","AC093151.8"
"312","AC093151.3"
"313","AC093151.2"
"314","AL445933.2"
"315","AC119676.1"
"316","AL158216.1"
"317","GUCA2B"
"318","AC096540.1"
"319","AC098484.4"
"320","AC098484.2"
"321","AC098484.1"
"322","AL512353.1"
"323","SLC2A1-AS1"
"324","AC099795.1"
"325","AL139289.3"
"326","AL139289.2"
"327","AL139289.1"
"328","AL451062.1"
"329","AL357079.1"
"330","AL357079.2"
"331","AL139220.2"
"332","KLF18"
"333","ERI3-IT1"
"334","AL592166.1"
"335","TCTEX1D4"
"336","AL604028.1"
"337","AL358075.1"
"338","AL358075.2"
"339","AL135960.1"
"340","FOXE3"
"341","AL691459.1"
"342","AC096541.1"
"343","AL356289.1"
"344","AL109659.1"
"345","AL109659.2"
"346","AL391844.1"
"347","AL645507.1"
"348","AC099788.1"
"349","AL590432.1"
"350","AGBL4-IT1"
"351","AL592182.2"
"352","AL592182.1"
"353","AL592182.3"
"354","AL049637.2"
"355","AL049637.1"
"356","AL162430.2"
"357","AC104170.2"
"358","AC104170.1"
"359","AL050343.2"
"360","AL050343.3"
"361","AL445685.1"
"362","AL513218.1"
"363","AL513218.2"
"364","AL591167.1"
"365","AC099677.4"
"366","AL445183.1"
"367","AL445183.2"
"368","AL606760.2"
"369","AL606760.3"
"370","AL606760.1"
"371","AL355483.3"
"372","AL355483.1"
"373","AL355483.2"
"374","LINC01771"
"375","AC119428.2"
"376","AC119428.1"
"377","DMRTB1"
"378","AL357673.2"
"379","AL161644.1"
"380","AL035415.1"
"381","AC099796.2"
"382","AL590093.1"
"383","AC096536.1"
"384","AC096536.3"
"385","AC096536.2"
"386","DHCR24-DT"
"387","AL590440.2"
"388","AL590440.1"
"389","AL603840.1"
"390","AL353681.1"
"391","AC119674.1"
"392","AL360295.1"
"393","AL161740.1"
"394","AL390243.1"
"395","AL445193.2"
"396","AL035411.3"
"397","AL136985.3"
"398","AL136985.2"
"399","AL136985.1"
"400","AL592431.2"
"401","AL592431.1"
"402","AC093425.1"
"403","AC093424.1"
"404","AL035416.1"
"405","AC099792.1"
"406","AC099791.3"
"407","AC099791.4"
"408","AC099791.2"
"409","AC103923.1"
"410","AC099794.1"
"411","AL162400.3"
"412","AL162400.1"
"413","AL162400.2"
"414","AC096543.1"
"415","AC096543.2"
"416","BX004807.1"
"417","DLEU2L"
"418","AL445205.1"
"419","LINC01359"
"420","AL357078.2"
"421","AL139294.1"
"422","AC119800.1"
"423","AL513493.1"
"424","AL590783.1"
"425","AL139147.1"
"426","TCTEX1D1"
"427","WDR78"
"428","AL592161.1"
"429","AL133320.2"
"430","AL138789.1"
"431","AL035412.1"
"432","AL033530.1"
"433","AL691520.1"
"434","AL359894.1"
"435","AL117353.1"
"436","AL158840.1"
"437","AL353771.1"
"438","AL158839.1"
"439","AL354872.2"
"440","AL513285.1"
"441","AL031429.1"
"442","AL031429.2"
"443","ZRANB2-AS2"
"444","AL354949.1"
"445","NEGR1-IT1"
"446","AL513166.1"
"447","AL583808.1"
"448","AL591463.1"
"449","AC093158.1"
"450","AC105271.1"
"451","AC135803.1"
"452","AC133865.1"
"453","AC099786.3"
"454","AC099786.1"
"455","AC099786.2"
"456","AC092813.1"
"457","AC092813.2"
"458","AC104458.1"
"459","AL035409.1"
"460","AC093433.2"
"461","AC095030.1"
"462","AC093575.1"
"463","AC118549.1"
"464","AC103591.3"
"465","AC103591.4"
"466","AC096531.2"
"467","AL353651.2"
"468","AL353651.1"
"469","AC099671.1"
"470","AC098657.2"
"471","AL606519.1"
"472","AL136234.1"
"473","AC093154.1"
"474","AL138799.2"
"475","AL138799.4"
"476","AC117944.1"
"477","AL157944.1"
"478","AC116099.1"
"479","AL035706.1"
"480","TTLL7-IT1"
"481","AC104454.2"
"482","AL359504.2"
"483","AL844170.1"
"484","AL359762.1"
"485","AL359762.2"
"486","AC104169.1"
"487","WDR63"
"488","AL078459.1"
"489","AL360219.1"
"490","AC092807.3"
"491","AC092807.2"
"492","AC092807.1"
"493","AL049597.2"
"494","AL355981.1"
"495","AL121989.1"
"496","LINC01140"
"497","AL445438.1"
"498","AC104459.1"
"499","AC099063.4"
"500","AC099063.1"
"501","AL596214.1"
"502","AC093423.2"
"503","AC099568.1"
"504","AC099568.2"
"505","AL391497.1"
"506","AL161797.1"
"507","AC098656.1"
"508","AL627316.1"
"509","AC092805.1"
"510","AC091614.1"
"511","SETSIP"
"512","AC104836.1"
"513","AC093577.1"
"514","AL109613.1"
"515","AL049796.1"
"516","AC093579.1"
"517","AC097059.1"
"518","AC118469.2"
"519","AC093117.1"
"520","AC105942.1"
"521","AC095033.1"
"522","AC092802.3"
"523","AC092802.1"
"524","AC092802.2"
"525","AC092802.4"
"526","LINC01760"
"527","LINC01650"
"528","AL445218.1"
"529","AL683887.1"
"530","DPYD-IT1"
"531","BX005019.1"
"532","AC104453.1"
"533","AL445433.2"
"534","AC118553.1"
"535","AC093019.2"
"536","AL445928.2"
"537","AC104457.2"
"538","AL589990.1"
"539","AC099670.3"
"540","AC104506.1"
"541","AC093157.2"
"542","AC093157.1"
"543","AL109741.1"
"544","AC114485.1"
"545","AC099567.1"
"546","AC095032.2"
"547","AC095032.1"
"548","AL591888.1"
"549","AL355306.2"
"550","AL359258.2"
"551","NBPF4"
"552","AL359258.1"
"553","AL390038.1"
"554","NBPF6"
"555","AL160171.1"
"556","AL591719.2"
"557","AL356488.3"
"558","AL356488.2"
"559","C1orf194"
"560","KIAA1324"
"561","SARS"
"562","AL355310.3"
"563","AL355310.1"
"564","AL355310.2"
"565","AC000032.1"
"566","AL158847.1"
"567","AL450468.1"
"568","AL450468.2"
"569","AL160006.1"
"570","UBL4B"
"571","AL355990.1"
"572","AL355990.2"
"573","LINC02586"
"574","AL355488.1"
"575","AL358215.1"
"576","AL358215.2"
"577","CYMP-AS1"
"578","AL365361.1"
"579","AL360270.2"
"580","AL360270.1"
"581","AL360270.3"
"582","AL355816.1"
"583","AL355816.2"
"584","AL356387.1"
"585","AL390195.2"
"586","AL390195.1"
"587","ADORA3"
"588","AL049557.1"
"589","KCND3-IT1"
"590","AL445426.1"
"591","AL354760.1"
"592","AL603832.1"
"593","AL603832.2"
"594","AL390242.1"
"595","AL137856.1"
"596","AL591742.2"
"597","AL121999.1"
"598","AL049825.1"
"599","AL512638.3"
"600","AL365318.1"
"601","LINC01779"
"602","AL355538.1"
"603","AL136376.1"
"604","AL390066.1"
"605","AL390066.2"
"606","C1orf137"
"607","AL157904.1"
"608","AL445231.1"
"609","AL358072.1"
"610","AL157902.1"
"611","AL391557.1"
"612","AL139420.1"
"613","AL139420.2"
"614","AL359915.1"
"615","HAO2-IT1"
"616","AC245008.1"
"617","AC253572.1"
"618","AC253572.2"
"619","PPIAL4A"
"620","FCGR1B"
"621","AC244453.3"
"622","AC244453.2"
"623","AC244453.1"
"624","AL592494.1"
"625","AL592494.2"
"626","LINC01691"
"627","LINC02799"
"628","AC239800.2"
"629","LINC02591"
"630","HIST2H3PS2"
"631","AC246680.1"
"632","IGKV1OR1-1"
"633","PPIAL4E"
"634","AC246785.3"
"635","PPIAL4F"
"636","LINC01632"
"637","FP700111.1"
"638","PPIAL4D"
"639","AC245014.3"
"640","AC245014.1"
"641","AC239860.4"
"642","AC243547.1"
"643","AC243547.2"
"644","AC239799.2"
"645","AC239799.1"
"646","PPIAL4H"
"647","AC245407.2"
"648","AC244394.2"
"649","AC242426.2"
"650","AC241644.1"
"651","AC241644.3"
"652","AC241644.2"
"653","GJA8"
"654","AC239803.1"
"655","AC239809.3"
"656","AC245100.1"
"657","AC245100.6"
"658","PPIAL4G"
"659","AC239802.1"
"660","AC239802.2"
"661","AC239804.1"
"662","AC245297.3"
"663","AC245297.2"
"664","PPIAL4C"
"665","AC242842.1"
"666","HIST2H2BF"
"667","AC243772.2"
"668","HIST2H3D"
"669","HIST2H4A"
"670","HIST2H3C"
"671","HIST2H2AA3"
"672","HIST2H2AA4"
"673","HIST2H3A"
"674","HIST2H4B"
"675","AC239868.1"
"676","HIST2H2BE"
"677","HIST2H2AC"
"678","HIST2H2AB"
"679","AC244033.2"
"680","AC242988.2"
"681","AC242988.1"
"682","AL356356.1"
"683","AL590133.2"
"684","AL590133.1"
"685","AL592424.1"
"686","AL391069.3"
"687","AL391069.1"
"688","AL391069.2"
"689","AL365436.2"
"690","AL391335.1"
"691","AL589765.1"
"692","AL589765.7"
"693","AL589765.4"
"694","AL589765.2"
"695","AL589765.5"
"696","AL589765.6"
"697","AL450992.2"
"698","AL450992.3"
"699","AL450992.1"
"700","TCHHL1"
"701","AL589986.1"
"702","AL589986.2"
"703","CRNN"
"704","LCE5A"
"705","CRCT1"
"706","LCE3E"
"707","LCE3D"
"708","LCE3C"
"709","LCE3B"
"710","LCE3A"
"711","LCE2D"
"712","LCE2C"
"713","LCE2B"
"714","LCE2A"
"715","LCE4A"
"716","KPRP"
"717","LCE1F"
"718","LCE1D"
"719","LCE1B"
"720","LCE1A"
"721","LCE6A"
"722","AL162596.1"
"723","SPRR2B"
"724","SPRR2E"
"725","SPRR2F"
"726","AL161636.1"
