8637,A2ML1-AS2,,AC000032.1
117,AADACL3,,AC000035.1
11603,AARS,,AC000036.1
565,AC000032.1,,AC000050.1
14621,AC000035.1,,AC000058.1
14803,AC000036.1,,AC000061.1
14802,AC000050.1,,AC000065.1
5575,AC000058.1,,AC000065.2
5668,AC000061.1,,AC000067.1
5580,AC000065.1,,AC000068.1
5579,AC000065.2,,AC000068.2
14441,AC000067.1,,AC000068.3
14437,AC000068.1,,AC000072.1
14439,AC000068.2,,AC000082.1
14438,AC000068.3,,AC000085.1
14435,AC000072.1,,AC000099.1
14440,AC000082.1,,AC000113.1
14436,AC000085.1,,AC000120.1
5695,AC000099.1,,AC000123.1
15035,AC000113.1,,AC000124.1
5577,AC000120.1,,AC000372.1
5696,AC000123.1,,AC000403.1
5697,AC000124.1,,AC001226.1
5692,AC000372.1,,AC002044.1
9500,AC000403.1,,AC002056.2
9502,AC001226.1,,AC002057.1
11626,AC002044.1,,AC002057.2
14804,AC002056.2,,AC002059.1
5694,AC002057.1,,AC002064.1
5693,AC002057.2,,AC002064.2
14620,AC002059.1,,AC002066.1
5570,AC002064.1,,AC002069.2
5569,AC002064.2,,AC002070.1
5658,AC002066.1,,AC002072.1
5565,AC002069.2,,AC002074.1
9229,AC002070.1,,AC002074.2
15036,AC002072.1,,AC002076.1
5586,AC002074.1,,AC002091.1
5587,AC002074.2,,AC002091.2
5582,AC002076.1,,AC002094.2
11902,AC002091.1,,AC002094.4
11901,AC002091.2,,AC002101.1
12054,AC002094.2,,AC002115.1
12055,AC002094.4,,AC002116.2
7177,AC002101.1,,AC002128.1
13422,AC002115.1,,AC002128.2
13428,AC002116.2,,AC002306.1
13417,AC002128.1,,AC002310.1
13416,AC002128.2,,AC002310.2
13307,AC002306.1,,AC002331.1
11339,AC002310.1,,AC002347.1
11340,AC002310.2,,AC002347.2
11293,AC002331.1,,AC002351.1
11918,AC002347.1,,AC002368.1
11919,AC002347.2,,AC002375.1
9171,AC002351.1,,AC002377.1
15131,AC002368.1,,AC002378.1
9170,AC002375.1,,AC002383.1
15062,AC002377.1,,AC002386.1
14627,AC002378.1,,AC002398.1
5567,AC002383.1,,AC002398.2
5641,AC002386.1,,AC002401.1
13425,AC002398.1,,AC002401.2
13424,AC002398.2,,AC002401.3
12368,AC002401.1,,AC002401.4
12367,AC002401.2,,AC002407.1
12366,AC002401.3,,AC002428.1
12365,AC002401.4,,AC002428.2
15080,AC002407.1,,AC002429.2
4178,AC002428.1,,AC002451.1
4177,AC002428.2,,AC002454.1
5588,AC002429.2,,AC002456.1
5591,AC002451.1,,AC002458.1
5581,AC002454.1,,AC002460.1
5571,AC002456.1,,AC002460.2
5572,AC002458.1,,AC002463.1
3450,AC002460.1,,AC002464.1
3448,AC002460.2,,AC002465.1
5648,AC002463.1,,AC002465.2
4904,AC002464.1,,AC002467.1
5666,AC002465.1,,AC002470.1
